issue,Calibration File,Expert mean
european_union,0 Calibration - CZ 2006 Green_summary.txt,6
taxation,0 Calibration - CZ 2006 Green_summary.txt,6
lifestyle,0 Calibration - CZ 2006 Green_summary.txt,3
immigration,0 Calibration - CZ 2006 Green_summary.txt,5
environment,0 Calibration - CZ 2006 Green_summary.txt,NA
decentralization,0 Calibration - CZ 2006 Green_summary.txt,4
european_union,0 Calibration - HUN 2010 Soc Dem_summary.txt,7
taxation,0 Calibration - HUN 2010 Soc Dem_summary.txt,4
lifestyle,0 Calibration - HUN 2010 Soc Dem_summary.txt,3
immigration,0 Calibration - HUN 2010 Soc Dem_summary.txt,4
environment,0 Calibration - HUN 2010 Soc Dem_summary.txt,5
decentralization,0 Calibration - HUN 2010 Soc Dem_summary.txt,4
european_union,0 Calibration - IRL 1989 Lab txt_summary.txt,NA
taxation,0 Calibration - IRL 1989 Lab txt_summary.txt,3
lifestyle,0 Calibration - IRL 1989 Lab txt_summary.txt,3
immigration,0 Calibration - IRL 1989 Lab txt_summary.txt,NA
environment,0 Calibration - IRL 1989 Lab txt_summary.txt,5
decentralization,0 Calibration - IRL 1989 Lab txt_summary.txt,5
european_union,0 Calibration - NL 2003 VVD txt_summary.txt,6
taxation,0 Calibration - NL 2003 VVD txt_summary.txt,8
lifestyle,0 Calibration - NL 2003 VVD txt_summary.txt,2
immigration,0 Calibration - NL 2003 VVD txt_summary.txt,8
environment,0 Calibration - NL 2003 VVD txt_summary.txt,8
decentralization,0 Calibration - NL 2003 VVD txt_summary.txt,4
european_union,0 Calibration - SLE 2014 United Left_summary.txt,4
taxation,0 Calibration - SLE 2014 United Left_summary.txt,2
lifestyle,0 Calibration - SLE 2014 United Left_summary.txt,1
immigration,0 Calibration - SLE 2014 United Left_summary.txt,1
environment,0 Calibration - SLE 2014 United Left_summary.txt,1
decentralization,0 Calibration - SLE 2014 United Left_summary.txt,3
european_union,0 Calibration - UK 2019 Lib Dem_summary.txt,7
taxation,0 Calibration - UK 2019 Lib Dem_summary.txt,4
lifestyle,0 Calibration - UK 2019 Lib Dem_summary.txt,1
immigration,0 Calibration - UK 2019 Lib Dem_summary.txt,3
environment,0 Calibration - UK 2019 Lib Dem_summary.txt,3
decentralization,0 Calibration - UK 2019 Lib Dem_summary.txt,4
