issue,Calibration File,Expert mean
taxation,Austria - AU 2019 - AU 2019 SDP_summary.txt,2
taxation,Belgium - BEL 2014 - BEL 2014  New Flemish Alliance N VA_summary.txt,9
taxation,Czech - CZ 2010 - CZ 2010 Civ Dem ODS_summary.txt,8
taxation,Denmark - DEN 2019 SPP SF_summary.txt,2
taxation,Hungary - HUN 2014 - HUN 2010 Mvmnt for better Hungary JOBBIK_summary.txt,4
taxation,Netherlands - NL 2010 - NL 2010 Green GL_summary.txt,2
taxation,Poland - POL 2019 Civic Coalition PO_summary.txt,5
taxation,Sweden - SWE 2010 - SWE 2010 Moderate_summary.txt,8
lifestyle,Austria - AU 2019 - AU 2019 SDP_summary.txt,2
lifestyle,Belgium - BEL 2014 - BEL 2014  New Flemish Alliance N VA_summary.txt,4
lifestyle,Czech - CZ 2010 - CZ 2010 Civ Dem ODS_summary.txt,5
lifestyle,Denmark - DEN 2019 SPP SF_summary.txt,2
lifestyle,Hungary - HUN 2014 - HUN 2010 Mvmnt for better Hungary JOBBIK_summary.txt,10
lifestyle,Netherlands - NL 2010 - NL 2010 Green GL_summary.txt,1
lifestyle,Poland - POL 2019 Civic Coalition PO_summary.txt,4
lifestyle,Sweden - SWE 2010 - SWE 2010 Moderate_summary.txt,3
immigration,Austria - AU 2019 - AU 2019 SDP_summary.txt,5
immigration,Belgium - BEL 2014 - BEL 2014  New Flemish Alliance N VA_summary.txt,8
immigration,Czech - CZ 2010 - CZ 2010 Civ Dem ODS_summary.txt,6
immigration,Denmark - DEN 2019 SPP SF_summary.txt,4
immigration,Hungary - HUN 2014 - HUN 2010 Mvmnt for better Hungary JOBBIK_summary.txt,9
immigration,Netherlands - NL 2010 - NL 2010 Green GL_summary.txt,3
immigration,Poland - POL 2019 Civic Coalition PO_summary.txt,5
immigration,Sweden - SWE 2010 - SWE 2010 Moderate_summary.txt,5
decentralization,Austria - AU 2019 - AU 2019 SDP_summary.txt,6
decentralization,Belgium - BEL 2014 - BEL 2014  New Flemish Alliance N VA_summary.txt,2
decentralization,Czech - CZ 2010 - CZ 2010 Civ Dem ODS_summary.txt,6
decentralization,Denmark - DEN 2019 SPP SF_summary.txt,5
decentralization,Hungary - HUN 2014 - HUN 2010 Mvmnt for better Hungary JOBBIK_summary.txt,5
decentralization,Netherlands - NL 2010 - NL 2010 Green GL_summary.txt,4
decentralization,Poland - POL 2019 Civic Coalition PO_summary.txt,3
decentralization,Sweden - SWE 2010 - SWE 2010 Moderate_summary.txt,5
environment,Austria - AU 2019 - AU 2019 SDP_summary.txt,5
environment,Belgium - BEL 2014 - BEL 2014  New Flemish Alliance N VA_summary.txt,8
environment,Czech - CZ 2010 - CZ 2010 Civ Dem ODS_summary.txt,8
environment,Denmark - DEN 2019 SPP SF_summary.txt,3
environment,Hungary - HUN 2014 - HUN 2010 Mvmnt for better Hungary JOBBIK_summary.txt,6
environment,Netherlands - NL 2010 - NL 2010 Green GL_summary.txt,2
environment,Poland - POL 2019 Civic Coalition PO_summary.txt,5
environment,Sweden - SWE 2010 - SWE 2010 Moderate_summary.txt,6
european_union,Austria - AU 2019 - AU 2019 SDP_summary.txt,6
european_union,Belgium - BEL 2014 - BEL 2014  New Flemish Alliance N VA_summary.txt,5
european_union,Czech - CZ 2010 - CZ 2010 Civ Dem ODS_summary.txt,3
european_union,Denmark - DEN 2019 SPP SF_summary.txt,5
european_union,Hungary - HUN 2014 - HUN 2010 Mvmnt for better Hungary JOBBIK_summary.txt,1
european_union,Netherlands - NL 2010 - NL 2010 Green GL_summary.txt,6
european_union,Poland - POL 2019 Civic Coalition PO_summary.txt,7
european_union,Sweden - SWE 2010 - SWE 2010 Moderate_summary.txt,6
