issue,Calibration File,Expert mean
decentralization,Decentralization_Score_4_MikPartyB.txt,4
decentralization,Decentralization_Score_7 MikPartyA.txt,7
decentralization,summary_gpt4o_short_decentralization_Score_1_BEL 2014  New Flemish Alliance NVA.txt,1
environment,summary_gpt4o_short_environment_Score_1_UK 2019 Green.txt,1
environment,summary_gpt4o_short_environment_Score_4_AU 2019 SDP.txt,4
environment,summary_gpt4o_short_environment_Score_6_ BEL 2014  New Flemish Alliance NVA.txt,6
european_union,summary_gpt4o_short_european_union_Score_1_HUN 2014 JOBBIK.txt,1
european_union,summary_gpt4o_short_european_union_Score_4_BEL 2014  New Flemish Alliance NVA.txt,4
european_union,summary_gpt4o_short_european_union_Score_7_POL 2019 Civic Coalition PO.txt,7
immigration,summary_gpt4o_short_immigration_Score_1_UK 2019 Green.txt,1
immigration,summary_gpt4o_short_immigration_Score_4_AU 2019 SDP.txt,4
immigration,summary_gpt4o_short_immigration_Score_7_HUN 2014 JOBBIK.txt,7
lifestyle,summary_gpt4o_short_lifestyle_Score_1_UK 2019 Green.txt,1
lifestyle,summary_gpt4o_short_lifestyle_Score_5_CZ 2010 Civ Dem ODS.txt,5
lifestyle,summary_gpt4o_short_lifestyle_Score_7_HUN 2014 JOBBIK.txt,7
taxation,summary_gpt4o_short_taxation_Score_1_ DEN 2019 SF.txt,1
taxation,summary_gpt4o_short_taxation_Score_4_POL 2019 Civic Coalition PO.txt,4
taxation,summary_gpt4o_short_taxation_Score_7_ CZ 2010 Civ Dem ODS.txt,7
